ReferenceCodeProduct;ReferenceCodeCombination;Name;Category;Size;Color;HexaColor;Price;Weight;Quantity;Description;ShortDescription;Active;MetaKeyword;MetaDescription;MetaTitle
GMO14KM1401004;0014K190004;WBB SLDR BELT GOTHICA BLACK;GUMMO,MALE,ACCESSORIES,1;ALL;BLACK;#000000;65000;1;30;WBB SLDR BELT GOTHICA BLACK;WBB SLDR BELT GOTHICA BLACK;0;GUMMO MALE ACCESSORIESWBB SLDR BELT GOTHICA BLACK;GUMMO MALE ACCESSORIESWBB SLDR BELT GOTHICA BLACK;GUMMO-MALE-ACCESSORIESWBB-SLDR-BELT-GOTHICA-BLACK
GMO14LU0704001;0014L040045;KAYWA BLACK;GUMMO,MALE,BAGS,2;ALL;BLACK;#000000;130000;1;30;KAYWA BLACK;KAYWA BLACK;0;GUMMO MALE BAGSKAYWA BLACK;GUMMO UNISEX BAGSKAYWA BLACK;GUMMO-UNISEX-BAGSKAYWA-BLACK
GMO14LU0704002;0014L040046;KAYWA BLUE;GUMMO,MALE,BAGS,2;ALL;BLUE;#000000;130000;1;30;KAYWA BLUE;KAYWA BLUE;0;GUMMO MALE BAGSKAYWA BLUE;GUMMO UNISEX BAGSKAYWA BLUE;GUMMO-UNISEX-BAGSKAYWA-BLUE
GMO14LU0704003;0014L040047;KAYWA BROWN;GUMMO,MALE,BAGS,2;ALL;BROWN;#000000;130000;1;25;KAYWA BROWN;KAYWA BROWN;0;GUMMO MALE BAGSKAYWA BROWN;GUMMO UNISEX BAGSKAYWA BROWN;GUMMO-UNISEX-BAGSKAYWA-BROWN
GMO14LU0704004;0014L040048;FLABA BLACK;GUMMO,MALE,BAGS,1;ALL;BLACK;#000000;100000;1;30;FLABA BLACK;FLABA BLACK;0;GUMMO MALE BAGSFLABA BLACK;GUMMO UNISEX BAGSFLABA BLACK;GUMMO-UNISEX-BAGSFLABA-BLACK
GMO14LU0704005;0014L040049;FLABA BLUE;GUMMO,MALE,BAGS,1;ALL;BLUE;#000000;100000;1;31;FLABA BLUE;FLABA BLUE;0;GUMMO MALE BAGSFLABA BLUE;GUMMO UNISEX BAGSFLABA BLUE;GUMMO-UNISEX-BAGSFLABA-BLUE
GMO14LU0704006;0014L040050;FLABA BROWN;GUMMO,MALE,BAGS,1;ALL;BROWN;#000000;100000;1;30;FLABA BROWN;FLABA BROWN;0;GUMMO MALE BAGSFLABA BROWN;GUMMO UNISEX BAGSFLABA BROWN;GUMMO-UNISEX-BAGSFLABA-BROWN
GMO14LM0211001;0014L040121;WOLRICH DRK GREY;GUMMO,MALE,JACKETS,3;S;GREY;#000000;300000;1;4;WOLRICH DRK GREY;WOLRICH DRK GREY;0;GUMMO MALE JACKETSWOLRICH DRK GREY;GUMMO MALE JACKETSWOLRICH DRK GREY;GUMMO-MALE-JACKETSWOLRICH-DRK-GREY
GMO14LM0211001;0014L040122;WOLRICH DRK GREY;GUMMO,MALE,JACKETS,3;M;GREY;#000000;300000;1;8;WOLRICH DRK GREY;WOLRICH DRK GREY;0;GUMMO MALE JACKETSWOLRICH DRK GREY;GUMMO MALE JACKETSWOLRICH DRK GREY;GUMMO-MALE-JACKETSWOLRICH-DRK-GREY
GMO14LM0211001;0014L040123;WOLRICH DRK GREY;GUMMO,MALE,JACKETS,3;L;GREY;#000000;300000;1;7;WOLRICH DRK GREY;WOLRICH DRK GREY;0;GUMMO MALE JACKETSWOLRICH DRK GREY;GUMMO MALE JACKETSWOLRICH DRK GREY;GUMMO-MALE-JACKETSWOLRICH-DRK-GREY
GMO14LM0211001;0014L040124;WOLRICH DRK GREY;GUMMO,MALE,JACKETS,3;XL;GREY;#000000;300000;1;2;WOLRICH DRK GREY;WOLRICH DRK GREY;0;GUMMO MALE JACKETSWOLRICH DRK GREY;GUMMO MALE JACKETSWOLRICH DRK GREY;GUMMO-MALE-JACKETSWOLRICH-DRK-GREY
GMO14LB1012001;0014L040102;LP MACK KIDS BLACK;GUMMO,BOY KID,PANTS,2;S;BLACK;#000000;190000;1;1;LP MACK KIDS BLACK;LP MACK KIDS BLACK;0;GUMMO BOY KID PANTSLP MACK KIDS BLACK;GUMMO BOY KID PANTSLP MACK KIDS BLACK;GUMMO-BOY-KID-PANTSLP-MACK-KIDS-BLACK
GMO14LB1012001;0014L040103;LP MACK KIDS BLACK;GUMMO,BOY KID,PANTS,2;M;BLACK;#000000;190000;1;3;LP MACK KIDS BLACK;LP MACK KIDS BLACK;0;GUMMO BOY KID PANTSLP MACK KIDS BLACK;GUMMO BOY KID PANTSLP MACK KIDS BLACK;GUMMO-BOY-KID-PANTSLP-MACK-KIDS-BLACK
GMO14LB1012001;0014L040104;LP MACK KIDS BLACK;GUMMO,BOY KID,PANTS,2;L;BLACK;#000000;190000;1;3;LP MACK KIDS BLACK;LP MACK KIDS BLACK;0;GUMMO BOY KID PANTSLP MACK KIDS BLACK;GUMMO BOY KID PANTSLP MACK KIDS BLACK;GUMMO-BOY-KID-PANTSLP-MACK-KIDS-BLACK
GMO14LB1012001;0014L040105;LP MACK KIDS BLACK;GUMMO,BOY KID,PANTS,2;XL;BLACK;#000000;190000;1;1;LP MACK KIDS BLACK;LP MACK KIDS BLACK;0;GUMMO BOY KID PANTSLP MACK KIDS BLACK;GUMMO BOY KID PANTSLP MACK KIDS BLACK;GUMMO-BOY-KID-PANTSLP-MACK-KIDS-BLACK
GMO14LM0601001;0014L020011;POLO SLOOP.2 SS MISTY;GUMMO,MALE,SHIRTS,2;S;MISTY;#000000;130000;1;2;POLO SLOOP.2 SS MISTY;POLO SLOOP.2 SS MISTY;0;GUMMO MALE SHIRTSPOLO SLOOP.2 SS MISTY;GUMMO MALE SHIRTSPOLO SLOOP.2 SS MISTY;GUMMO-MALE-SHIRTSPOLO-SLOOP.2-SS-MISTY
GMO14LM0601001;0014L020012;POLO SLOOP.2 SS MISTY;GUMMO,MALE,SHIRTS,2;M;MISTY;#000000;130000;1;8;POLO SLOOP.2 SS MISTY;POLO SLOOP.2 SS MISTY;0;GUMMO MALE SHIRTSPOLO SLOOP.2 SS MISTY;GUMMO MALE SHIRTSPOLO SLOOP.2 SS MISTY;GUMMO-MALE-SHIRTSPOLO-SLOOP.2-SS-MISTY
GMO14LM0601001;0014L020013;POLO SLOOP.2 SS MISTY;GUMMO,MALE,SHIRTS,2;L;MISTY;#000000;130000;1;5;POLO SLOOP.2 SS MISTY;POLO SLOOP.2 SS MISTY;0;GUMMO MALE SHIRTSPOLO SLOOP.2 SS MISTY;GUMMO MALE SHIRTSPOLO SLOOP.2 SS MISTY;GUMMO-MALE-SHIRTSPOLO-SLOOP.2-SS-MISTY
GMO14LM0601001;0014L020014;POLO SLOOP.2 SS MISTY;GUMMO,MALE,SHIRTS,2;XL;MISTY;#000000;130000;1;2;POLO SLOOP.2 SS MISTY;POLO SLOOP.2 SS MISTY;0;GUMMO MALE SHIRTSPOLO SLOOP.2 SS MISTY;GUMMO MALE SHIRTSPOLO SLOOP.2 SS MISTY;GUMMO-MALE-SHIRTSPOLO-SLOOP.2-SS-MISTY
RSC14KU0707012;0014K240001;SB RIPPLE GREY;RSCH,MALE,BAGS,2;ALL;GREY;#000000;150000;1;40;SB RIPPLE GREY;SB RIPPLE GREY;0;RSCH MALE BAGSSB RIPPLE GREY;RSCH UNISEX BAGSSB RIPPLE GREY;RSCH-UNISEX-BAGSSB-RIPPLE-GREY
RSC14LF0504003;0014L030011;LOFI.2 WHITE-GREY SUEDE;RSCH,FEMALE,FOOTWEAR,4;36;MULTI COLOUR;#000000;325000;2;2;LOFI.2 WHITE-GREY SUEDE;LOFI.2 WHITE-GREY SUEDE;0;RSCH FEMALE FOOTWEARLOFI.2 WHITEGREY SUEDE;RSCH FEMALE FOOTWEARLOFI.2 WHITEGREY SUEDE;RSCH-FEMALE-FOOTWEARLOFI.2-WHITE-GREY-SUEDE
RSC14LF0504003;0014L030012;LOFI.2 WHITE-GREY SUEDE;RSCH,FEMALE,FOOTWEAR,4;37;MULTI COLOUR;#000000;325000;2;3;LOFI.2 WHITE-GREY SUEDE;LOFI.2 WHITE-GREY SUEDE;0;RSCH FEMALE FOOTWEARLOFI.2 WHITEGREY SUEDE;RSCH FEMALE FOOTWEARLOFI.2 WHITEGREY SUEDE;RSCH-FEMALE-FOOTWEARLOFI.2-WHITE-GREY-SUEDE
RSC14LF0504003;0014L030013;LOFI.2 WHITE-GREY SUEDE;RSCH,FEMALE,FOOTWEAR,4;38;MULTI COLOUR;#000000;325000;2;3;LOFI.2 WHITE-GREY SUEDE;LOFI.2 WHITE-GREY SUEDE;0;RSCH FEMALE FOOTWEARLOFI.2 WHITEGREY SUEDE;RSCH FEMALE FOOTWEARLOFI.2 WHITEGREY SUEDE;RSCH-FEMALE-FOOTWEARLOFI.2-WHITE-GREY-SUEDE
RSC14LF0504003;0014L030014;LOFI.2 WHITE-GREY SUEDE;RSCH,FEMALE,FOOTWEAR,4;39;MULTI COLOUR;#000000;325000;2;2;LOFI.2 WHITE-GREY SUEDE;LOFI.2 WHITE-GREY SUEDE;0;RSCH FEMALE FOOTWEARLOFI.2 WHITEGREY SUEDE;RSCH FEMALE FOOTWEARLOFI.2 WHITEGREY SUEDE;RSCH-FEMALE-FOOTWEARLOFI.2-WHITE-GREY-SUEDE
RSC14LF0504003;0014L030015;LOFI.2 WHITE-GREY SUEDE;RSCH,FEMALE,FOOTWEAR,4;40;MULTI COLOUR;#000000;325000;2;2;LOFI.2 WHITE-GREY SUEDE;LOFI.2 WHITE-GREY SUEDE;0;RSCH FEMALE FOOTWEARLOFI.2 WHITEGREY SUEDE;RSCH FEMALE FOOTWEARLOFI.2 WHITEGREY SUEDE;RSCH-FEMALE-FOOTWEARLOFI.2-WHITE-GREY-SUEDE
RSC14LU0812001;0014L080008;6P CAP YOSOF DEEP GREEN;RSCH,MALE,HATS,1;ALL;GREEN;#000000;85000;1;30;6P CAP YOSOF DEEP GREEN;6P CAP YOSOF DEEP GREEN;0;RSCH MALE HATS6P CAP YOSOF DEEP GREEN;RSCH UNISEX HATS6P CAP YOSOF DEEP GREEN;RSCH-UNISEX-HATS6P-CAP-YOSOF-DEEP-GREEN
RSC14LF0208001;0014L040021;SDT 54 TOSCA-STAB GREEN-GREEN-MRN;RSCH,FEMALE,JACKETS,2;S;MULTI COLOUR;#000000;185000;1;5;SDT 54 TOSCA-STAB GREEN-GREEN-MRN;SDT 54 TOSCA-STAB GREEN-GREEN-MRN;0;RSCH FEMALE JACKETSSDT 54 TOSCASTAB GREENGREENMRN;RSCH FEMALE JACKETSSDT 54 TOSCASTAB GREENGREENMRN;RSCH-FEMALE-JACKETSSDT-54-TOSCA-STAB-GREEN-GREEN-MRN
RSC14LF0208001;0014L040022;SDT 54 TOSCA-STAB GREEN-GREEN-MRN;RSCH,FEMALE,JACKETS,2;M;MULTI COLOUR;#000000;185000;1;10;SDT 54 TOSCA-STAB GREEN-GREEN-MRN;SDT 54 TOSCA-STAB GREEN-GREEN-MRN;0;RSCH FEMALE JACKETSSDT 54 TOSCASTAB GREENGREENMRN;RSCH FEMALE JACKETSSDT 54 TOSCASTAB GREENGREENMRN;RSCH-FEMALE-JACKETSSDT-54-TOSCA-STAB-GREEN-GREEN-MRN
RSC14LF0208001;0014L040023;SDT 54 TOSCA-STAB GREEN-GREEN-MRN;RSCH,FEMALE,JACKETS,2;L;MULTI COLOUR;#000000;185000;1;8;SDT 54 TOSCA-STAB GREEN-GREEN-MRN;SDT 54 TOSCA-STAB GREEN-GREEN-MRN;0;RSCH FEMALE JACKETSSDT 54 TOSCASTAB GREENGREENMRN;RSCH FEMALE JACKETSSDT 54 TOSCASTAB GREENGREENMRN;RSCH-FEMALE-JACKETSSDT-54-TOSCA-STAB-GREEN-GREEN-MRN
RSC14LF0208001;0014L040024;SDT 54 TOSCA-STAB GREEN-GREEN-MRN;RSCH,FEMALE,JACKETS,2;XL;MULTI COLOUR;#000000;185000;1;3;SDT 54 TOSCA-STAB GREEN-GREEN-MRN;SDT 54 TOSCA-STAB GREEN-GREEN-MRN;0;RSCH FEMALE JACKETSSDT 54 TOSCASTAB GREENGREENMRN;RSCH FEMALE JACKETSSDT 54 TOSCASTAB GREENGREENMRN;RSCH-FEMALE-JACKETSSDT-54-TOSCA-STAB-GREEN-GREEN-MRN
RSC14LM0208002;0014L040035;SDT 50 DRK GREY-SFT GREY;RSCH,MALE,JACKETS,2;S;GREY;#000000;195000;1;4;SDT 50 DRK GREY-SFT GREY;SDT 50 DRK GREY-SFT GREY;0;RSCH MALE JACKETSSDT 50 DRK GREYSFT GREY;RSCH MALE JACKETSSDT 50 DRK GREYSFT GREY;RSCH-MALE-JACKETSSDT-50-DRK-GREY-SFT-GREY
RSC14LM0208002;0014L040036;SDT 50 DRK GREY-SFT GREY;RSCH,MALE,JACKETS,2;M;GREY;#000000;195000;1;10;SDT 50 DRK GREY-SFT GREY;SDT 50 DRK GREY-SFT GREY;0;RSCH MALE JACKETSSDT 50 DRK GREYSFT GREY;RSCH MALE JACKETSSDT 50 DRK GREYSFT GREY;RSCH-MALE-JACKETSSDT-50-DRK-GREY-SFT-GREY
RSC14LM0208002;0014L040037;SDT 50 DRK GREY-SFT GREY;RSCH,MALE,JACKETS,2;L;GREY;#000000;195000;1;9;SDT 50 DRK GREY-SFT GREY;SDT 50 DRK GREY-SFT GREY;0;RSCH MALE JACKETSSDT 50 DRK GREYSFT GREY;RSCH MALE JACKETSSDT 50 DRK GREYSFT GREY;RSCH-MALE-JACKETSSDT-50-DRK-GREY-SFT-GREY
RSC14LM0208002;0014L040038;SDT 50 DRK GREY-SFT GREY;RSCH,MALE,JACKETS,2;XL;GREY;#000000;195000;1;2;SDT 50 DRK GREY-SFT GREY;SDT 50 DRK GREY-SFT GREY;0;RSCH MALE JACKETSSDT 50 DRK GREYSFT GREY;RSCH MALE JACKETSSDT 50 DRK GREYSFT GREY;RSCH-MALE-JACKETSSDT-50-DRK-GREY-SFT-GREY
RSC14LB1011001;0014L040075;SP CARTER KIDS DIM GREY;RSCH,BOY KID,PANTS,2;S;GREY;#000000;180000;1;2;SP CARTER KIDS DIM GREY;SP CARTER KIDS DIM GREY;0;RSCH BOY KID PANTSSP CARTER KIDS DIM GREY;RSCH BOY KID PANTSSP CARTER KIDS DIM GREY;RSCH-BOY-KID-PANTSSP-CARTER-KIDS-DIM-GREY
RSC14LB1011001;0014L040076;SP CARTER KIDS DIM GREY;RSCH,BOY KID,PANTS,2;M;GREY;#000000;180000;1;4;SP CARTER KIDS DIM GREY;SP CARTER KIDS DIM GREY;0;RSCH BOY KID PANTSSP CARTER KIDS DIM GREY;RSCH BOY KID PANTSSP CARTER KIDS DIM GREY;RSCH-BOY-KID-PANTSSP-CARTER-KIDS-DIM-GREY
RSC14LB1011001;0014L040077;SP CARTER KIDS DIM GREY;RSCH,BOY KID,PANTS,2;L;GREY;#000000;180000;1;3;SP CARTER KIDS DIM GREY;SP CARTER KIDS DIM GREY;0;RSCH BOY KID PANTSSP CARTER KIDS DIM GREY;RSCH BOY KID PANTSSP CARTER KIDS DIM GREY;RSCH-BOY-KID-PANTSSP-CARTER-KIDS-DIM-GREY
RSC14LB1012001;0014L040071;LP CARTER KIDS DIM GREY;RSCH,BOY KID,PANTS,2;S;GREY;#000000;190000;1;2;LP CARTER KIDS DIM GREY;LP CARTER KIDS DIM GREY;0;RSCH BOY KID PANTSLP CARTER KIDS DIM GREY;RSCH BOY KID PANTSLP CARTER KIDS DIM GREY;RSCH-BOY-KID-PANTSLP-CARTER-KIDS-DIM-GREY
RSC14LB1012001;0014L040072;LP CARTER KIDS DIM GREY;RSCH,BOY KID,PANTS,2;M;GREY;#000000;190000;1;3;LP CARTER KIDS DIM GREY;LP CARTER KIDS DIM GREY;0;RSCH BOY KID PANTSLP CARTER KIDS DIM GREY;RSCH BOY KID PANTSLP CARTER KIDS DIM GREY;RSCH-BOY-KID-PANTSLP-CARTER-KIDS-DIM-GREY
RSC14LB1012001;0014L040073;LP CARTER KIDS DIM GREY;RSCH,BOY KID,PANTS,2;L;GREY;#000000;190000;1;3;LP CARTER KIDS DIM GREY;LP CARTER KIDS DIM GREY;0;RSCH BOY KID PANTSLP CARTER KIDS DIM GREY;RSCH BOY KID PANTSLP CARTER KIDS DIM GREY;RSCH-BOY-KID-PANTSLP-CARTER-KIDS-DIM-GREY
