Name;CityName
2 X 11 Kayu Tanam;Kab Padang Pariaman
Abab (Penukal Abab);Kab Muara Enim
Abang;Kab Karangasem
Abeli;Kota Kendari
Abenaho;Kab Jayawijaya
Abepura;Kota Jayapura
Abiansemal;Kab Badung
Abuki;Kab Konawe
Abun;Kab Sorong
Abung Barat;Kab Lampung Utara
Abung Selatan;Kab Lampung Utara
Abung Semuli;Kab Lampung Utara
Abung Surakarta;Kab Lampung Utara
Abung Tengah;Kab Lampung Utara
Abung Timur;Kab Lampung Utara
Abung Tinggi;Kab Lampung Utara
Adi Luwih;Kab Tanggamus
Adiankoting;Kab Tapanuli Utara
Adimulyo;Kab Kebumen
Adipala;Kab Cilacap
Adiwerna;Kab Tegal
Adman Dewi;Kab Tapanuli Tengah
Adonara Barat;Kab Flores Timur
Adonara Timur;Kab Flores Timur
Aek Bilah;Kab Tapanuli Selatan
Aek Kuasan;Kab Asahan
Aek Kuo;Kab Labuhanbatu
Aek Natas;Kab Labuhanbatu
Aesesa;Kab Nagekeo
Aesesa Selatan;Kab Nagekeo
Afulu;Kab Nias
Agats;Kab Asmat
Agimuga;Kab Mimika
Agisiga;Kab Intan Jaya
Agisiga;Kab Paniai
Agrabinta;Kab Cianjur
Aifat;Kab Sorong Selatan
Aifat Timur;Kab Sorong Selatan
Aikmel;Kab Lombok Timur
Aimas;Kab Sorong
Aimere;Kab Ngada
Air Batu;Kab Asahan
Air Besar;Kab Landak
Air Besi;Kab Bengkulu Utara
Air Buaya / Buru Utara Barat;Kab Buru
Air Gegas;Kab Bangka Selatan
Air Hangat;Kab Kerinci
Air Hangat Timur;Kab Kerinci
Air Joman;Kab Asahan
Air Napal;Kab Bengkulu Utara
Air Periukan;Kab Seluma
Air Putih;Kab Batubara
Air Sugihan;Kab Ogan Komering Ilir
Air Upas ;Kab Ketapang
Airmadidi;Kab Minahasa Utara
Aitinyo;Kab Sorong Selatan
Ajangale;Kab Bone
Ajibarang;Kab Banyumas
Ajibata;Kab Toba Samosir
Ajung;Kab Jember
Akabiluru;Kab Lima Puluh Kota
Akat;Kab Asmat
Alafan;Kab simeulue
Alak;Kota Kupang
Alalak;Kab Barito Kuala
Alang-Alang Lebar;Kota Palembang
Alas Barat;Kab Sumbawa
Alas;Kab Sumbawa
Alasa;Kab Nias
Aliyan;Kab Kebumen
Alla;Kab Enrekang
Alla Timur;Kab Enrekang
Allu;Kab Polewali Mandar
Alok;Kab Sikka
Alor Barat Daya;Kab Alor
Alor Barat Laut;Kab Alor
Alor Selatan;Kab Alor
Alor Tengah Utara;Kab Alor
Alor Timur;Kab Alor
Alor Timur Laut;Kab Alor
Aluh Aluh;Kab Banjar
Amabioefeto Timur ;Kab Kupang
Amahai;Kab Maluku Tengah
Amali;Kab Bone
Amanatun Selatan;Kab Timor Tengah Selatan
Amanatun Tengah;Kab Timor Tengah Selatan
