IDCarrier;IDDistrict;DistrictName;CityName;Price
1;1;2 X 11 Kayu Tanam;Kab Padang Pariaman;47000
1;2;Abab (Penukal Abab);Kab Muara Enim;38000
1;3;Abang;Kab Karangasem;32000
1;4;Abeli;Kota Kendari;32000
1;5;Abenaho;Kab Jayawijaya;137000
1;6;Abepura;Kota Jayapura;70000
1;7;Abiansemal;Kab Badung;32000
1;8;Abuki;Kab Konawe;72000
1;9;Abun;Kab Sorong;143000
1;10;Abung Barat;Kab Lampung Utara;38000
1;11;Abung Selatan;Kab Lampung Utara;38000
1;12;Abung Semuli;Kab Lampung Utara;38000
1;13;Abung Surakarta;Kab Lampung Utara;38000
1;14;Abung Tengah;Kab Lampung Utara;38000
1;15;Abung Timur;Kab Lampung Utara;38000
1;16;Abung Tinggi;Kab Lampung Utara;38000
1;17;Adi Luwih;Kab Tanggamus;38000
1;18;Adiankoting;Kab Tapanuli Utara;53000
1;19;Adimulyo;Kab Kebumen;27000
1;20;Adipala;Kab Cilacap;22000
1;21;Adiwerna;Kab Tegal;25000
1;22;Adman Dewi;Kab Tapanuli Tengah;53000
1;23;Adonara Barat;Kab Flores Timur;116000
1;24;Adonara Timur;Kab Flores Timur;116000
1;25;Aek Bilah;Kab Tapanuli Selatan;53000
1;26;Aek Kuasan;Kab Asahan;53000
1;27;Aek Kuo;Kab Labuhan Batu;53000
1;28;Aek Natas;Kab Labuhan Batu;53000
1;29;Aesesa;Kab Nagekeo;116000
1;30;Aesesa Selatan;Kab Nagekeo;116000
1;31;Afulu;Kab Nias;53000
1;32;Agats;Kab Asmat;109000
1;33;Agimuga;Kab Mimika;138000
1;34;Agisiga;Kab Intan Jaya;155000
1;35;Agisiga;Kab Paniai;155000
1;36;Agrabinta;Kab Cianjur;19000
1;37;Aifat;Kab Sorong Selatan;143000
1;38;Aifat Timur;Kab Sorong Selatan;143000
1;39;Aikmel;Kab Lombok Timur;42000
1;40;Aimas;Kab Sorong;143000
1;41;Aimere;Kab Ngada;116000
1;42;Air Batu;Kab Asahan;53000
1;43;Air Besar;Kab Landak;53000
1;44;Air Besi;Kab Bengkulu Utara;42000
1;45;Air Buaya / Buru Utara Barat;Kab Buru;164000
1;46;Air Gegas;Kab Bangka Selatan;39000
1;47;Air Hangat;Kab Kerinci;52000
1;48;Air Hangat Timur;Kab Kerinci;52000
1;49;Air Joman;Kab Asahan;53000
1;50;Air Napal;Kab Bengkulu Utara;42000
1;51;Air Periukan;Kab Seluma;42000
1;52;Air Putih;Kab Batubara;53000
1;53;Air Sugihan;Kab Ogan Komering Ilir;38000
1;54;Air Upas ;Kab Ketapang;53000
1;55;Airmadidi;Kab Minahasa Utara;75000
1;56;Aitinyo;Kab Sorong Selatan;143000
1;57;Ajangale;Kab Bone;53000
1;58;Ajibarang;Kab Banyumas;20000
1;59;Ajibata;Kab Toba Samosir;53000
1;60;Ajung;Kab Jember;38000
1;61;Akabiluru;Kab Lima Puluh Kota;47000
1;62;Akat;Kab Asmat;137000
1;63;Alafan;Kab Simeuleu;86000
1;64;Alak;Kota Kupang;35000
1;65;Alalak;Kab Barito Kuala;49000
1;66;Alang-Alang Lebar;Kota Palembang;18000
1;67;Alas Barat;Kab Sumbawa;42000
1;68;Alas;Kab Sumbawa;42000
1;69;Alasa;Kab Nias;80000
1;70;Aliyan;Kab Kebumen;27000
1;71;Alla;Kab Enrekang;53000
1;72;Alla Timur;Kab Enrekang;53000
1;73;Allu;Kab Polewali Mandar;53000
1;74;Alok;Kab Sikka;77000
1;75;Alor Barat Daya;Kab Alor;116000
1;76;Alor Barat Laut;Kab Alor;116000
1;77;Alor Selatan;Kab Alor;116000
1;78;Alor Tengah Utara;Kab Alor;116000
1;79;Alor Timur;Kab Alor;116000
1;80;Alor Timur Laut;Kab Alor;116000
1;81;Aluh Aluh;Kab Banjar;49000
1;82;Amabioefeto Timur ;Kab Kupang;116000
1;83;Amahai;Kab Maluku Tengah;164000
1;84;Amali;Kab Bone;53000
1;85;Amanatun Selatan;Kab Timor Tengah Selatan;77000
1;86;Amanatun Tengah;Kab Timor Tengah Selatan;77000
1;87;Amanatun Timur;Kab Timor Tengah Selatan;77000
1;88;Amanatun Utara;Kab Timor Tengah Selatan;77000
1;89;Amandraya;Kab Nias Selatan;80000
1;90;Amanuban Barat;Kab Timor Tengah Selatan;116000
1;91;Amanuban Selatan;Kab Timor Tengah Selatan;77000
1;92;Amarasi Barat;Kab Kupang;116000
1;93;Amarasi;Kab Kupang;116000
1;94;Amarasi Selatan;Kab Kupang;116000
1;95;Amarasi Timur;Kab Kupang;116000
1;96;Ambal;Kab Kebumen;27000
1;97;Ambalau ;Kab Melawi;53000
1;98;Ambalau ;Kab Sintang;53000
1;99;Ambalawi;Kab Bima;63000
1;100;Ambarawa;Kab Semarang;20000
1;101;Amberbaken;Kab Manokwari;143000
1;102;Ambon;Kota Ambon;46000
1;103;Ambulu;Kab Jember;38000
1;104;Ambunten;Kab Sumenep;32000
1;105;Amfoang Barat Daya;Kab Kupang;116000
1;106;Amfoang Barat Laut;Kab Kupang;116000
1;107;Amfoang Selatan;Kab Kupang;116000
1;108;Amfoang Utara;Kab Kupang;116000
1;109;Amlapura;Kab Karangasem;25000
1;110;Ampana Kota;Kab Tojo Una-Una;53000
1;111;Ampana Tete;Kab Tojo Una-Una;67000
1;112;Ampek Nagari;Kab Agam;47000
1;113;Ampel;Kab Boyolali;25000
1;114;Ampelgading ;Kab Malang;38000
1;115;Ampelgading ;Kab Pemalang;25000
1;116;Ampenan;Kota Mataram;25000
1;117;Ampibabo;Kab Parigi Moutong;67000
1;118;Amuntai;Kab Hulu Sungai Utara;39000
1;119;Amuntai Selatan;Kab Hulu Sungai Utara;39000
1;120;Amuntai Tengah ;Kab Hulu Sungai Utara;39000
1;121;Amuntai Utara;Kab Hulu Sungai Utara;39000
1;122;Amurang;Kab Minahasa Selatan;75000
1;123;Anak Tuha;Kab Lampung Tengah;38000
1;124;Andir;Kota Bandung;6000
1;125;Andolo/Wanggodo;Kab Konawe Utara/ Selatan;57000
1;126;Andong;Kab Boyolali;25000
1;127;Angata;Kab Konawe Utara/ Selatan;72000
1;128;Anggana;Kab Kutai Kartanegara;68000
1;129;Anggeraja;Kab Enrekang;53000
1;130;Anggeraja Timur;Kab Enrekang;53000
1;131;Anggi;Kab Manokwari;143000
1;132;Anggrek;Kab Gorontalo;77000
1;133;Anggrek;Kab Gorontalo Utara;77000
1;134;Anggruk;Kab Yahukimo;206000
1;135;Angkaisera;Kab Yapen Waropen;137000
1;136;Angkinang;Kab Hulu Sungai Selatan;49000
1;137;Angkona;Kab Luwu Timur;53000
1;138;Angsana;Kab Pandeglang;15000
1;139;Anjatan;Kab Indramayu;20000
1;140;Anjir Muara;Kab Barito Kuala;49000
1;141;Anjir Pasar;Kab Barito Kuala;49000
1;142;Anreapi;Kab Polewali Mandar;53000
1;143;Antang Kalang ;Kab Kotawaringin Timur;62000
1;144;Anyar;Kab Serang;12000
1;145;Apalapsili;Kab Jayawijaya;137000
1;146;Aradide;Kab Paniai;155000
1;147;Arahan;Kab Indramayu;20000
1;148;Aralle;Kab Mamasa;53000
1;149;Aranday;Kab Teluk Bintuni;143000
1;150;Aranio ;Kab Banjar;49000
1;151;Arcamanik;Kota Bandung;6000
1;152;Arga Makmur;Kab Bengkulu Utara;33000
1;153;Argapura;Kab Majalengka;20000
1;154;Argomulyo;Kota Salatiga;20000
1;155;Arjasa ;Kab Jember;38000
1;156;Arjasa ;Kab Situbondo;38000
1;157;Arjasa ;Kab Sumenep;48000
1;158;Arjasari;Kab Bandung;6000
1;159;Arjawinangun;Kab Cirebon;20000
1;160;Arjosari;Kab Pacitan;38000
